PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73,POI74,POI75,POI76,POI77
POI1,0,1.99,2.73,11.18,0.61,7.28,10.57,18.52,33.52,13.66,1.1,32.7,7.55,4.42,3.31,23.76,10.57,4.23,6.24,2.61,24.89,11.84,8.62,33.52,0.64,24.66,24.41,13.83,25.63,14.42,2.99,26.85,3.48,6.12,1.15,72.6,39.73,2.5,3.3,1.52,18.92,16.66,0.7,39.73,10.75,7.07,23.2,4.62,13.8,33.52,24.89,4.73,13.83,33.52,4.58,4.58,7.07,9.1,14.7,19.44,24.89,14.36,7.75,1.23,8.03,24.89,11.84,3.3,23.2,1.14,15.9,29.79,19.44,23.2,10.56,14.42,4.23
POI2,1.99,0,1.32,10.44,1.47,5.52,8.58,16.54,31.57,11.7,2.89,30.75,5.59,2.87,1.33,21.77,8.58,2.81,4.64,1.26,22.99,9.84,6.7,31.57,1.52,22.67,22.43,11.86,23.74,12.45,1.0,24.87,1.51,4.13,0.86,71.91,37.86,1.21,1.31,0.58,16.95,14.92,1.41,37.86,8.77,5.24,21.29,2.85,11.81,31.57,22.99,3.08,11.86,31.57,3.25,3.25,5.24,7.27,12.73,17.46,22.99,12.36,5.87,0.9,6.08,22.99,9.84,1.31,21.29,2.95,13.91,30.0,17.46,21.29,8.58,12.45,2.81
POI3,2.73,1.32,0,11.53,2.13,4.55,8.18,16.03,31.43,11.08,3.27,30.64,5.04,1.7,1.29,21.39,8.18,1.55,3.52,0.12,23.02,9.47,5.98,31.43,2.1,22.2,21.9,11.26,22.93,11.87,1.46,24.64,1.35,3.77,1.72,72.95,37.92,0.24,1.42,1.34,16.75,15.24,2.03,37.92,8.57,4.37,21.3,3.45,11.53,31.43,23.02,2.0,11.26,31.43,1.96,1.96,4.37,6.4,12.54,17.18,23.02,11.99,5.08,1.53,5.5,23.02,9.47,1.42,21.3,3.32,13.46,31.3,17.18,21.3,8.1,11.87,1.55
POI4,11.18,10.44,11.53,0,11.19,13.06,11.81,17.77,28.04,14.91,12.22,27.07,11.37,12.23,10.42,21.04,11.81,12.46,13.19,11.54,18.88,12.21,12.57,28.04,11.31,22.6,22.88,14.92,26.39,15.21,10.1,22.58,10.48,10.46,10.82,61.48,32.55,11.53,10.26,10.87,15.65,10.08,11.22,32.55,10.69,12.5,17.6,8.38,12.7,28.04,18.88,12.15,14.92,28.04,12.88,12.88,12.5,13.61,12.53,16.62,18.88,13.68,12.52,11.06,11.67,18.88,12.21,10.26,17.6,12.25,15.27,21.0,16.62,17.6,12.2,15.21,12.46
POI5,0.61,1.47,2.13,11.19,0,6.67,10.02,17.96,33.04,13.07,1.43,32.22,6.97,3.82,2.75,23.22,10.02,3.63,5.63,2.01,24.45,11.29,8.02,33.04,0.12,24.11,23.84,13.25,25.03,13.84,2.47,26.34,2.91,5.56,0.62,72.65,39.31,1.89,2.76,0.95,18.42,16.31,0.1,39.31,10.24,6.46,22.75,4.23,13.27,33.04,24.45,4.12,13.25,33.04,3.99,3.99,6.46,8.5,14.2,18.92,24.45,13.81,7.15,0.64,7.45,24.45,11.29,2.76,22.75,1.48,15.35,30.1,18.92,22.75,10.0,13.84,3.63
POI6,7.28,5.52,4.55,13.06,6.67,0,4.67,11.88,27.92,6.85,7.76,27.19,2.03,2.9,4.29,17.44,4.67,3.2,1.31,4.67,20.03,5.91,1.9,27.92,6.65,18.07,17.67,7.06,18.4,7.68,4.77,20.98,4.11,2.61,6.2,73.37,34.85,4.79,4.39,5.81,13.28,13.38,6.58,34.85,5.65,0.57,18.27,5.16,8.06,27.92,20.03,2.57,7.06,27.92,3.04,3.04,0.57,1.9,9.3,13.53,20.03,8.26,1.0,6.05,2.09,20.03,5.91,4.39,18.27,7.82,9.5,33.85,13.53,18.27,4.4,7.68,3.2
POI7,10.57,8.58,8.18,11.81,10.02,4.67,0,7.98,23.39,3.44,11.37,22.63,3.17,6.94,7.27,13.22,0.0,7.33,5.9,8.29,15.36,1.3,2.79,23.39,10.05,14.09,13.86,3.54,15.71,4.05,7.6,16.52,7.11,4.46,9.43,69.97,30.2,8.4,7.27,9.08,8.7,9.11,9.95,30.2,1.39,4.38,13.6,6.58,3.44,23.39,15.36,6.57,3.54,23.39,7.35,7.35,4.38,3.39,4.63,9.04,15.36,3.81,3.68,9.39,2.78,15.36,1.3,7.27,13.6,11.42,5.33,32.74,9.04,13.6,0.46,4.05,7.33
POI8,18.52,16.54,16.03,17.77,17.96,11.88,7.98,0,16.62,5.03,19.27,16.03,11.0,14.61,15.22,5.69,7.98,14.97,13.19,16.15,10.54,6.78,10.11,16.62,17.98,6.19,5.89,4.83,8.65,4.2,15.56,9.62,15.05,12.41,17.38,69.89,24.21,16.26,15.23,17.01,4.14,9.96,17.88,24.21,8.16,11.83,8.99,14.51,5.27,16.62,10.54,14.24,4.83,16.62,14.88,14.88,11.83,10.02,5.24,3.38,10.54,4.41,11.08,17.32,10.53,10.54,6.78,15.23,8.99,19.33,2.72,37.54,3.38,8.99,7.96,4.2,14.97
POI9,33.52,31.57,31.43,28.04,33.04,27.92,23.39,16.62,0,21.36,34.46,1.01,26.55,30.32,30.36,11.02,23.39,30.71,29.21,31.54,9.16,22.09,26.03,0.0,33.09,11.39,12.4,21.13,16.89,20.53,30.58,7.01,30.23,27.67,32.43,61.63,8.18,31.64,30.32,32.13,14.7,18.07,32.98,8.18,22.87,27.73,10.59,28.97,19.96,0.0,9.16,29.95,21.13,0.0,30.74,30.74,27.73,26.21,18.89,14.39,9.16,19.66,26.99,32.45,26.17,9.16,22.09,30.32,10.59,34.51,18.51,41.98,14.39,10.59,23.57,20.53,30.71
POI10,13.66,11.7,11.08,14.91,13.07,6.85,3.44,5.03,21.36,0,14.34,20.69,6.11,9.61,10.36,10.65,3.44,9.96,8.15,11.2,14.18,2.7,5.12,21.36,13.08,11.22,10.84,0.23,12.28,0.84,10.74,14.36,10.19,7.6,12.51,71.24,28.64,11.32,10.39,12.14,7.14,10.02,12.99,28.64,4.26,6.82,12.45,9.96,3.11,21.36,14.18,9.24,0.23,21.36,9.86,9.86,6.82,4.99,4.33,7.09,14.18,2.46,6.07,12.44,5.62,14.18,2.7,10.39,12.45,14.4,2.88,35.64,7.09,12.45,3.25,0.84,9.96
