HID,"Lat,Lng"
HID1,"18.9217,72.8332"
HID2,"18.9268,72.8209"
HID3,"18.9276,72.8230"
HID4,"18.9140,72.8176"
HID5,"19.0883,72.8260"
HID6,"18.9930,72.8266"
HID7,"19.1075,72.8677"
HID8,"19.0972,72.8741"
HID9,"19.1022,72.8713"
HID10,"19.0695,72.8678"
HID11,"19.1086,72.8698"
HID12,"19.0989,72.8258"
HID13,"19.1061,72.8698"
HID14,"19.0969,72.8656"
HID15,"19.1149,72.8477"
HID16,"19.1476,72.8718"
HID17,"19.1055,72.8752"
HID18,"19.1037,72.8724"
HID19,"19.1349,72.8486"
HID20,"18.9296,72.8220"
HID21,"19.1076,72.8792"
HID22,"19.1194,72.8925"
HID23,"19.1365,72.8226"
HID24,"19.0989,72.8478"
HID25,"19.1015,72.8569"
HID26,"19.0445,72.8190"
HID27,"19.0348,73.0196"
HID28,"19.1073,72.8371"
HID29,"19.1119,72.8468"
HID30,"19.1136,72.8464"
HID31,"19.1045,72.8354"
HID32,"19.1365,72.8223"
HID33,"18.9227,72.8330"
HID34,"19.0981,72.8258"
HID35,"18.9327,72.8362"
HID36,"18.9327,72.8329"
HID37,"18.9251,72.8320"
HID38,"18.9289,72.8232"
HID39,"18.9265,72.8312"
HID40,"18.9395,72.8346"
HID41,"19.0956,72.8604"
HID42,"19.0712,72.8465"
HID43,"18.9648,72.8096"
HID44,"18.9424,72.8335"
HID45,"18.9518,72.8162"
HID46,"18.9431,72.8342"
HID47,"18.9567,72.8191"
HID48,"18.9559,72.8161"
HID49,"18.9431,72.8338"
HID50,"18.9559,72.8161"
HID51,"18.9277,72.8319"
HID52,"18.9258,72.8324"
HID53,"19.1379,72.8322"
HID54,"19.0174,72.8478"
HID55,"18.9931,72.8263"
HID56,"18.9218,72.8346"
HID57,"18.9274,72.8315"
HID58,"18.9277,72.8319"
HID59,"18.9316,72.8317"
HID60,"18.9931,72.8263"
HID61,"19.0633,72.8362"
HID62,"18.9424,72.8335"
HID63,"18.9431,72.8338"
HID64,"18.9424,72.8335"
HID65,"18.9431,72.8338"
HID66,"18.9316,72.8317"
HID67,"18.9424,72.8335"
HID68,"18.9592,72.8295"
HID69,"19.1194,72.8466"
HID70,"18.9424,72.8335"
HID71,"19.1139,72.8469"
HID72,"19.1117,72.8484"
HID73,"19.0966,72.8656"
HID74,"19.0981,72.8478"
HID75,"19.0980,72.8446"
HID76,"19.0982,72.8477"
HID77,"19.0981,72.8478"
HID78,"19.0923,72.8568"
HID79,"19.1057,72.8361"
HID80,"19.1139,72.8469"
HID81,"18.9327,72.8329"
HID82,"19.0956,72.8604"
HID83,"19.1139,72.8469"
HID84,"19.1139,72.8469"
HID85,"19.1139,72.8469"
HID86,"19.1139,72.8469"
HID87,"19.1139,72.8469"
HID88,"19.1139,72.8469"
HID89,"19.1139,72.8469"
HID90,"19.1139,72.8469"
HID91,"19.1139,72.8469"
HID92,"19.1139,72.8469"
HID93,"19.1139,72.8469"
HID94,"19.1139,72.8469"
HID95,"19.1139,72.8469"
HID96,"19.1139,72.8469"
HID97,"19.1139,72.8469"
HID98,"19.1139,72.8469"
HID99,"19.1139,72.8469"
HID100,"19.1139,72.8469"
HID101,"19.0700,72.8678"
HID102,"19.0670,72.8692"
HID103,"19.0695,72.8678"
HID104,"19.1349,72.8486"
HID105,"19.1187,72.9077"
HID106,"19.0991,72.8262"
HID107,"19.0875,72.8658"
HID108,"19.1061,72.8698"
HID109,"19.0989,72.8258"
HID110,"19.1076,72.8792"
HID111,"19.0969,72.8656"
HID112,"19.1194,72.8925"
HID113,"19.0989,72.8478"
HID114,"19.1149,72.8477"
